,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,Month-Year,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,YEAR,MONTH
603,10147,26,82.39,3,"$2,142.14",2003-09-05,Shipped,3,9-2003,Classic Cars,$77.00,S18_1889,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Small,2003,9
604,10160,38,88.55,4,"$3,364.90",2003-10-11,Shipped,4,10-2003,Classic Cars,$77.00,S18_1889,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,,Chandler,Michael,Medium,2003,10
605,10170,20,63.14,2,"$1,262.80",2003-11-04,Shipped,4,11-2003,Classic Cars,$77.00,S18_1889,Mini Auto Werke,76753555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,Small,2003,11
606,10181,22,73.92,10,"$1,626.24",2003-11-12,Shipped,4,11-2003,Classic Cars,$77.00,S18_1889,Herkku Gifts,004722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Small,2003,11
607,10192,45,90.86,15,"$4,088.70",2003-11-20,Shipped,4,11-2003,Classic Cars,$77.00,S18_1889,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium,2003,11
608,10203,45,85.47,4,"$3,846.15",2003-12-02,Shipped,4,12-2003,Classic Cars,$77.00,S18_1889,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2003,12
609,10212,20,66.99,14,"$1,339.80",2004-01-16,Shipped,1,1-2004,Classic Cars,$77.00,S18_1889,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,2004,1
610,10225,47,64.68,5,"$3,039.96",2004-02-22,Shipped,1,2-2004,Classic Cars,$77.00,S18_1889,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,2004,2
611,10239,46,73.92,4,"$3,400.32",2004-04-12,Shipped,2,4-2004,Classic Cars,$77.00,S18_1889,"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,2004,4
612,10253,23,83.93,9,"$1,930.39",2004-06-01,Cancelled,2,6-2004,Classic Cars,$77.00,S18_1889,"UK Collectables, Ltd.",1715552282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,2004,6
613,10266,33,74.69,10,"$2,464.77",2004-07-06,Shipped,3,7-2004,Classic Cars,$77.00,S18_1889,L'ordine Souveniers,0522556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small,2004,7
614,10278,29,90.86,10,"$2,634.94",2004-08-06,Shipped,3,8-2004,Classic Cars,$77.00,S18_1889,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,Small,2004,8
615,10287,44,82.39,8,"$3,625.16",2004-08-30,Shipped,3,8-2004,Classic Cars,$77.00,S18_1889,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,2004,8
616,10300,41,92.4,1,"$3,788.40",2003-10-04,Shipped,4,10-2003,Classic Cars,$77.00,S18_1889,"Blauer See Auto, Co.",00496966902555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Medium,2003,10
617,10310,20,91.63,6,"$1,832.60",2004-10-16,Shipped,4,10-2004,Classic Cars,$77.00,S18_1889,"Toms Spezialitten, Ltd",02215554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Small,2004,10
618,10321,37,78.54,14,"$2,905.98",2004-11-04,Shipped,4,11-2004,Classic Cars,$77.00,S18_1889,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,2004,11
619,10329,29,100.0,9,"$2,954.81",2004-11-15,Shipped,4,11-2004,Classic Cars,$77.00,S18_1889,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small,2004,11
620,10342,55,65.45,1,"$3,599.75",2004-11-24,Shipped,4,11-2004,Classic Cars,$77.00,S18_1889,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,11
621,10363,22,100.0,7,"$3,686.54",2005-01-06,Shipped,1,1-2005,Classic Cars,$77.00,S18_1889,Suominen Souveniers,0035898045555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium,2005,1
622,10377,31,67.76,4,"$2,100.56",2005-02-09,Shipped,1,2-2005,Classic Cars,$77.00,S18_1889,"Toys of Finland, Co.",902248555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,2005,2
623,10389,49,79.22,3,"$3,881.78",2005-03-03,Shipped,1,3-2005,Classic Cars,$77.00,S18_1889,Scandinavian Gift Ideas,0695346555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,2005,3
624,10405,61,73.92,4,"$4,509.12",2005-04-14,Shipped,2,4-2005,Classic Cars,$77.00,S18_1889,Mini Caravy,88601555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Medium,2005,4
625,10419,39,83.93,9,"$3,273.27",2005-05-17,Shipped,2,5-2005,Classic Cars,$77.00,S18_1889,Salzburg Collectables,65629555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,2005,5
626,10109,38,100.0,3,"$4,432.70",2003-03-10,Shipped,1,3-2003,Classic Cars,$142.00,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Medium,2003,3
627,10122,31,100.0,1,"$4,100.99",2003-05-08,Shipped,2,5-2003,Classic Cars,$142.00,S18_1984,Marseille Mini Autos,91244555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,Medium,2003,5
628,10136,36,100.0,1,"$5,274.72",2003-07-04,Shipped,3,7-2003,Classic Cars,$142.00,S18_1984,Alpha Cognac,61776555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium,2003,7
629,10148,25,100.0,12,"$4,232.00",2003-09-11,Shipped,3,9-2003,Classic Cars,$142.00,S18_1984,"Anna's Decorations, Ltd",0299368555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,2003,9
630,10161,48,100.0,11,"$6,145.44",2003-10-17,Shipped,4,10-2003,Classic Cars,$142.00,S18_1984,Heintze Collectables,86213555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium,2003,10
631,10171,35,100.0,1,"$4,680.20",2003-11-05,Shipped,4,11-2003,Classic Cars,$142.00,S18_1984,Quebec Home Shopping Network,5145558054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium,2003,11
632,10181,21,100.0,5,"$3,286.08",2003-11-12,Shipped,4,11-2003,Classic Cars,$142.00,S18_1984,Herkku Gifts,004722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2003,11
633,10192,47,100.0,10,"$7,421.30",2003-11-20,Shipped,4,11-2003,Classic Cars,$142.00,S18_1984,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Large,2003,11
634,10204,38,100.0,16,"$6,432.64",2003-12-02,Shipped,4,12-2003,Classic Cars,$142.00,S18_1984,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Medium,2003,12
635,10212,41,100.0,9,"$4,840.87",2004-01-16,Shipped,1,1-2004,Classic Cars,$142.00,S18_1984,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2004,1
636,10226,24,100.0,7,"$3,892.08",2004-02-26,Shipped,1,2-2004,Classic Cars,$142.00,S18_1984,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,Medium,2004,2
637,10240,37,100.0,2,"$5,526.32",2004-04-13,Shipped,2,4-2004,Classic Cars,$142.00,S18_1984,Osaka Souveniers Co.,00810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2004,4
638,10253,33,100.0,4,"$4,459.62",2004-06-01,Cancelled,2,6-2004,Classic Cars,$142.00,S18_1984,"UK Collectables, Ltd.",1715552282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,2004,6
639,10266,49,100.0,5,"$6,203.40",2004-07-06,Shipped,3,7-2004,Classic Cars,$142.00,S18_1984,L'ordine Souveniers,0522556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Medium,2004,7
640,10278,29,100.0,5,"$3,754.05",2004-08-06,Shipped,3,8-2004,Classic Cars,$142.00,S18_1984,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,Medium,2004,8
641,10287,24,100.0,3,"$3,516.48",2004-08-30,Shipped,3,8-2004,Classic Cars,$142.00,S18_1984,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,2004,8
642,10301,47,100.0,7,"$7,488.04",2003-10-05,Shipped,4,10-2003,Classic Cars,$142.00,S18_1984,"Norway Gifts By Mail, Co.",004722121555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,Large,2003,10
643,10310,24,100.0,1,"$3,448.08",2004-10-16,Shipped,4,10-2004,Classic Cars,$142.00,S18_1984,"Toms Spezialitten, Ltd",02215554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium,2004,10
644,10321,25,100.0,9,"$3,734.00",2004-11-04,Shipped,4,11-2004,Classic Cars,$142.00,S18_1984,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium,2004,11
645,10331,30,32.47,8,$974.10,2004-11-17,Shipped,4,11-2004,Classic Cars,$142.00,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small,2004,11
646,10342,22,100.0,3,"$3,160.74",2004-11-24,Shipped,4,11-2004,Classic Cars,$142.00,S18_1984,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,11
647,10356,27,64.69,2,"$1,746.63",2004-12-09,Shipped,4,12-2004,Classic Cars,$142.00,S18_1984,Lyon Souveniers,0033146627555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small,2004,12
648,10366,34,100.0,3,"$4,207.84",2005-01-10,Shipped,1,1-2005,Classic Cars,$142.00,S18_1984,Royale Belge,07123672555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,Medium,2005,1
649,10377,36,100.0,6,"$4,352.76",2005-02-09,Shipped,1,2-2005,Classic Cars,$142.00,S18_1984,"Toys of Finland, Co.",902248555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,2005,2
650,10390,34,43.05,15,"$1,463.70",2005-03-04,Shipped,1,3-2005,Classic Cars,$142.00,S18_1984,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small,2005,3
651,10406,48,100.0,2,"$7,169.28",2005-04-15,Disputed,2,4-2005,Classic Cars,$142.00,S18_1984,Danish Wholesale Imports,31123555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,2005,4
652,10419,34,100.0,4,"$4,594.76",2005-05-17,Shipped,2,5-2005,Classic Cars,$142.00,S18_1984,Salzburg Collectables,65629555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,2005,5
653,10104,24,100.0,8,"$3,457.92",2003-01-31,Shipped,1,1-2003,Classic Cars,$163.00,S18_2238,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2003,1
654,10115,46,100.0,4,"$7,381.16",2003-04-04,Shipped,2,4-2003,Classic Cars,$163.00,S18_2238,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Large,2003,4
655,10127,45,100.0,10,"$7,146.90",2003-06-03,Shipped,2,6-2003,Classic Cars,$163.00,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Large,2003,6
656,10141,39,100.0,4,"$5,938.53",2003-08-01,Shipped,3,8-2003,Classic Cars,$163.00,S18_2238,Suominen Souveniers,0035898045555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium,2003,8
657,10151,43,100.0,2,"$7,110.91",2003-09-21,Shipped,3,9-2003,Classic Cars,$163.00,S18_2238,"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Large,2003,9
658,10165,29,100.0,11,"$5,032.95",2003-10-22,Shipped,4,10-2003,Classic Cars,$163.00,S18_2238,"Dragon Souveniers, Ltd.",00652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,2003,10
659,10176,20,100.0,10,"$3,667.60",2003-11-06,Shipped,4,11-2003,Classic Cars,$163.00,S18_2238,L'ordine Souveniers,0522556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Medium,2003,11
660,10184,46,100.0,5,"$7,381.16",2003-11-14,Shipped,4,11-2003,Classic Cars,$163.00,S18_2238,"Iberia Gift Imports, Corp.",955558282,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,Large,2003,11
661,10195,27,100.0,5,"$5,128.11",2003-11-25,Shipped,4,11-2003,Classic Cars,$163.00,S18_2238,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,2003,11
662,10207,44,100.0,6,"$7,060.24",2003-12-09,Shipped,4,12-2003,Classic Cars,$163.00,S18_2238,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,Large,2003,12
663,10219,43,100.0,1,"$8,448.64",2004-02-10,Shipped,1,2-2004,Classic Cars,$163.00,S18_2238,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,,Taylor,Sue,Large,2004,2
664,10230,49,100.0,8,"$7,300.51",2004-03-15,Shipped,1,3-2004,Classic Cars,$163.00,S18_2238,"Blauer See Auto, Co.",00496966902555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Large,2004,3
665,10246,40,100.0,4,"$6,549.20",2004-05-05,Shipped,2,5-2004,Classic Cars,$163.00,S18_2238,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2004,5
666,10259,30,100.0,3,"$5,697.90",2004-06-15,Shipped,2,6-2004,Classic Cars,$163.00,S18_2238,Handji Gifts& Co,00652241555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Medium,2004,6
667,10271,50,100.0,4,"$9,169.00",2004-07-20,Shipped,3,7-2004,Classic Cars,$163.00,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large,2004,7
668,10282,23,100.0,13,"$3,238.63",2004-08-20,Shipped,3,8-2004,Classic Cars,$163.00,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,2004,8
669,10292,26,100.0,7,"$4,554.94",2004-09-08,Shipped,3,9-2004,Classic Cars,$163.00,S18_2238,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2004,9
670,10305,27,100.0,4,"$3,934.44",2004-10-13,Shipped,4,10-2004,Classic Cars,$163.00,S18_2238,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,2004,10
671,10314,42,100.0,13,"$5,776.26",2004-10-22,Shipped,4,10-2004,Classic Cars,$163.00,S18_2238,Heintze Collectables,86213555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium,2004,10
672,10324,47,100.0,8,"$7,207.45",2004-11-05,Shipped,4,11-2004,Classic Cars,$163.00,S18_2238,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large,2004,11
673,10336,49,100.0,6,"$7,460.74",2004-11-20,Shipped,4,11-2004,Classic Cars,$163.00,S18_2238,"La Corne D'abondance, Co.",142342555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,Large,2004,11
674,10349,38,100.0,8,"$6,719.54",2004-12-01,Shipped,4,12-2004,Classic Cars,$163.00,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Medium,2004,12
675,10358,20,100.0,10,"$2,428.00",2004-12-10,Shipped,4,12-2004,Classic Cars,$163.00,S18_2238,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,2004,12
676,10371,25,100.0,7,"$2,602.25",2005-01-23,Shipped,1,1-2005,Classic Cars,$163.00,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small,2005,1
677,10382,25,88.0,5,"$2,200.00",2005-02-17,Shipped,1,2-2005,Classic Cars,$163.00,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small,2005,2
678,10412,41,100.0,4,"$6,712.93",2005-05-03,Shipped,2,5-2005,Classic Cars,$163.00,S18_2238,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2005,5
679,10425,28,100.0,3,"$5,318.04",2005-05-31,In Process,2,5-2005,Classic Cars,$163.00,S18_2238,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,2005,5
680,10100,50,67.8,2,"$3,390.00",2003-01-06,Shipped,1,1-2003,Vintage Cars,$60.00,S18_2248,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium,2003,1
681,10110,32,50.25,6,"$1,608.00",2003-03-18,Shipped,1,3-2003,Vintage Cars,$60.00,S18_2248,"AV Stores, Co.",1715551555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Small,2003,3
682,10124,42,53.88,5,"$2,262.96",2003-05-21,Shipped,2,5-2003,Vintage Cars,$60.00,S18_2248,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,Small,2003,5
683,10149,24,62.36,10,"$1,496.64",2003-09-12,Shipped,3,9-2003,Vintage Cars,$60.00,S18_2248,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,,Taylor,Sue,Small,2003,9
684,10162,27,69.62,8,"$1,879.74",2003-10-18,Shipped,4,10-2003,Vintage Cars,$60.00,S18_2248,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Small,2003,10
685,10173,26,57.51,12,"$1,495.26",2003-11-05,Shipped,4,11-2003,Vintage Cars,$60.00,S18_2248,Rovelli Gifts,035640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Small,2003,11
686,10182,38,61.15,9,"$2,323.70",2003-11-12,Shipped,4,11-2003,Vintage Cars,$60.00,S18_2248,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small,2003,11
687,10193,42,59.33,13,"$2,491.86",2003-11-21,Shipped,4,11-2003,Vintage Cars,$60.00,S18_2248,"Australian Collectables, Ltd",61938446555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Small,2003,11
688,10204,23,71.44,3,"$1,643.12",2003-12-02,Shipped,4,12-2003,Vintage Cars,$60.00,S18_2248,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Small,2003,12
689,10214,21,62.96,6,"$1,322.16",2004-01-26,Shipped,1,1-2004,Vintage Cars,$60.00,S18_2248,"Corrida Auto Replicas, Ltd",915552282,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Small,2004,1
690,10227,28,50.85,9,"$1,423.80",2004-03-02,Shipped,1,3-2004,Vintage Cars,$60.00,S18_2248,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Small,2004,3
691,10241,33,72.65,1,"$2,397.45",2004-04-13,Shipped,2,4-2004,Vintage Cars,$60.00,S18_2248,Mini Caravy,88601555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Small,2004,4
692,10280,25,62.96,15,"$1,574.00",2004-08-17,Shipped,3,8-2004,Vintage Cars,$60.00,S18_2248,Amica Models & Co.,0114988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Small,2004,8
693,10288,28,61.75,4,"$1,729.00",2004-09-01,Shipped,3,9-2004,Vintage Cars,$60.00,S18_2248,Handji Gifts& Co,00652241555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small,2004,9
694,10303,46,49.04,2,"$2,255.84",2004-10-06,Shipped,4,10-2004,Vintage Cars,$60.00,S18_2248,"Iberia Gift Imports, Corp.",955558282,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,Small,2004,10
695,10312,30,61.15,16,"$1,834.50",2004-10-21,Shipped,4,10-2004,Vintage Cars,$60.00,S18_2248,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small,2004,10
696,10332,38,84.25,9,"$3,201.50",2004-11-17,Shipped,4,11-2004,Vintage Cars,$60.00,S18_2248,"AV Stores, Co.",1715551555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium,2004,11
697,10344,40,56.91,2,"$2,276.40",2004-11-25,Shipped,4,11-2004,Vintage Cars,$60.00,S18_2248,Marseille Mini Autos,91244555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,Small,2004,11
698,10367,45,100.0,4,"$8,884.80",2005-01-12,Resolved,1,1-2005,Vintage Cars,$60.00,S18_2248,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Large,2005,1
699,10379,27,49.3,1,"$1,331.10",2005-02-10,Shipped,1,2-2005,Vintage Cars,$60.00,S18_2248,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,2005,2
700,10407,42,72.65,1,"$3,051.30",2005-04-22,On Hold,2,4-2005,Vintage Cars,$60.00,S18_2248,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Medium,2005,4
701,10420,36,63.57,4,"$2,288.52",2005-05-29,In Process,2,5-2005,Vintage Cars,$60.00,S18_2248,Souveniers And Things Co.,0061294958555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2005,5
702,10104,29,100.0,12,"$3,772.61",2003-01-31,Shipped,1,1-2003,Trucks and Buses,$122.00,S18_2319,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2003,1
703,10114,39,100.0,3,"$4,164.42",2003-04-01,Shipped,2,4-2003,Trucks and Buses,$122.00,S18_2319,"La Corne D'abondance, Co.",142342555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,Medium,2003,4
704,10127,45,100.0,14,"$6,295.95",2003-06-03,Shipped,2,6-2003,Trucks and Buses,$122.00,S18_2319,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Medium,2003,6
705,10141,47,100.0,8,"$6,287.66",2003-08-01,Shipped,3,8-2003,Trucks and Buses,$122.00,S18_2319,Suominen Souveniers,0035898045555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium,2003,8
706,10151,49,100.0,6,"$5,412.54",2003-09-21,Shipped,3,9-2003,Trucks and Buses,$122.00,S18_2319,"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,2003,9
707,10165,46,100.0,15,"$5,984.14",2003-10-22,Shipped,4,10-2003,Trucks and Buses,$122.00,S18_2319,"Dragon Souveniers, Ltd.",00652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,2003,10
708,10175,48,100.0,4,"$5,891.04",2003-11-06,Shipped,4,11-2003,Trucks and Buses,$122.00,S18_2319,"Stylish Desk Decors, Co.",1715550297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,2003,11
709,10184,46,100.0,9,"$5,984.14",2003-11-14,Shipped,4,11-2003,Trucks and Buses,$122.00,S18_2319,"Iberia Gift Imports, Corp.",955558282,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,Medium,2003,11
710,10195,35,100.0,9,"$3,608.15",2003-11-25,Shipped,4,11-2003,Trucks and Buses,$122.00,S18_2319,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,2003,11
711,10207,43,100.0,10,"$5,752.54",2003-12-09,Shipped,4,12-2003,Trucks and Buses,$122.00,S18_2319,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,Medium,2003,12
